DDA,CASHBK,DIRDEP,NSF,SAV,ATM,CD,IRA,LOC,INV,ILS,MM,MMCRED,MTG,CC,CCPURC,SDB,HMOWN,MOVED,INAREA,INS,BRANCH,RES,DDABAL_Bin,ACCTAGE_Bin,DEPAMT_Bin,CHECKS_Bin,NSFAMT_Bin,PHONE_Bin,TELLER_Bin,SAVBAL_Bin,ATMAMT_Bin,POS_Bin,POSAMT_Bin,CDBAL_Bin,IRABAL_Bin,LOCBAL_Bin,INVBAL_Bin,ILSBAL_Bin,MMBAL_Bin,MTGBAL_Bin,CCBAL_Bin,INCOME_Bin,LORES_Bin,HMVAL_Bin,AGE_Bin,CRSCORE_Bin
1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,B2,R,6,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,4,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,B3,S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,2
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,B7,U,5,1,5,4,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,4,3
1,0,0,1,1,1,0,0,0,,0,0,0,0,,,1,0,0,1,0,B14,S,3,1,3,2,1,4,1,2,2,3,3,1,1,1,1,1,1,1,3,2,1,2,3,2
1,0,0,1,1,1,1,0,0,,0,0,0,0,,,0,1,0,1,0,B15,U,3,1,4,4,2,4,2,2,3,3,3,2,1,1,1,1,1,1,3,2,2,1,4,3
0,0,0,0,1,1,0,0,0,,0,1,1,0,,,0,1,0,1,1,B19,R,1,1,1,1,1,4,1,7,3,3,3,1,1,1,1,1,2,1,3,2,2,1,4,3
1,0,0,1,1,0,0,0,0,,0,0,0,1,,,0,1,0,1,1,B15,R,5,1,2,1,1,4,2,3,1,3,3,1,1,1,1,1,1,2,3,2,2,2,4,2
0,0,0,0,1,0,0,0,1,,0,0,0,1,,,0,1,0,1,1,B14,U,1,1,1,1,1,4,1,7,1,3,3,1,1,3,1,1,1,2,3,2,1,1,4,2
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,B1,S,5,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2
0,0,0,0,1,0,0,1,0,,0,0,0,0,,,0,0,0,0,0,B18,R,1,1,1,1,1,4,1,7,1,3,3,1,2,1,1,1,1,1,3,2,1,1,4,3
0,0,0,0,0,0,0,0,0,,0,1,0,0,,,0,0,0,0,1,B15,S,1,1,1,1,1,4,1,1,1,3,3,1,1,1,1,1,2,1,3,2,1,1,4,3
0,0,0,0,1,1,0,0,0,,0,0,0,0,,,1,1,0,1,0,B15,S,1,1,1,1,1,4,1,4,2,3,3,1,1,1,1,1,1,1,3,3,2,3,4,3
1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,B1,R,6,1,4,4,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,3,2
1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,B2,R,8,1,5,4,1,1,2,1,2,1,1,1,1,3,1,1,1,1,2,2,2,3,3,2
1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,B3,R,7,1,4,4,1,1,1,7,2,1,1,3,1,1,1,1,1,1,2,3,2,4,3,2
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B17,R,7,1,4,4,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2
1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,B9,S,7,1,5,4,1,3,2,3,1,2,2,1,1,1,1,1,1,1,2,2,2,2,3,3
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,B1,R,3,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2
