ACCTAGE,DDA,DDABAL,DEP,DEPAMT,CHECKS,DIRDEP,NSF,NSFAMT,PHONE,TELLER,SAV,SAVBAL,ATM,ATMAMT,POS,POSAMT,CD,CDBAL,IRA,IRABAL,INV,INVBAL,MM,MMBAL,MMCRED,CC,CCBAL,CCPURC,SDB,INCOME,LORES,HMVAL,AGE,CRSCORE,INAREA,INS,BRANCH
0.9,1,462.12,2,1049.57,4,0,0,0,0,2,1,9010.4,1,863.11,1,23.13,0,0,0,0,0,0,0,0,0,0,0,0,1,54,4,129,73,667,1,1,B6
0.3,1,5681.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26700,0,0,0,0,0,0,0,1,310836.87,1,0,100,2.5,144,48,632,1,1,B2
4.5,1,1660.44,4,4425.18,6,0,0,0,1,1,1,668.2,1,876.77,0,0,0,0,0,0,0,0,0,0,0,1,40530.61,0,0,65,5,113,49,693,1,0,B17
2.8,1,1038.37,3,2191.26,4,0,0,0,,4,1,2652.47,1,220.85,,,0,0,0,0,,,0,0,0,,,,0,15,4.5,100,29,653,1,0,B15
6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,7.5,141,53,663,1,0,B4
5.2,1,1074.58,2,1680.89,5,0,1,6.35,3,0,1,13987.51,1,1395.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,2.5,113,60,682,1,1,B3
5.8,1,1047.9,3,4512.92,6,0,0,0,,3,0,0,1,1241.78,,,0,0,0,0,,,0,0,0,,,,0,69,2,132,45,679,1,1,B18
8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15067.71,0,1,2106.7,0,1,,,,,625,1,1,B2
3.5,1,11799.23,2,2155.42,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,614.35,0,0,121,3,166,48,753,1,0,B5
3.9,1,20504.49,1,7797.01,18,0,0,0,0,2,1,3795.14,1,10176.97,0,0,0,0,0,0,0,0,0,0,0,1,3192.91,0,0,18,6,128,67,708,1,0,B3
